twitter_top_words.genre,twitter_top_words.word,twitter_top_words.count,twitter_top_words.sentiment
Drama,road,2068,-0.1743301534322694
Drama,room,2039,0.4619966474119181
Drama,things,1962,0.4273328496566636
Drama,great,1945,0.514744255959911
Drama,show,1830,0.5012290429507122
Drama,dead,1776,-0.47751635401459885
Drama,watch,1748,0.4362432545866685
Drama,book,1694,0.6694051126125923
Drama,home,1692,0.4108296955212396
Drama,girl,1690,1.0454959795760685
Drama,week,1686,0.15904287510787793
Drama,money,1656,0.25996688877655294
Drama,deal,1638,0.3535269446937101
Drama,holiday,1623,0.8945906164786805
Drama,city,1617,0.4185617187543644
Drama,make,1571,0.5777088632381193
Drama,list,1567,0.3498146872273299
Drama,video,1532,0.2435382351877445
Drama,series,1516,0.34077592459470424
Drama,season,1500,0.9777545682092508
Drama,trump,1500,0.12919547761480013
Drama,thing,1469,0.4765638377621435
Drama,weekend,1447,0.44397220009089583
Drama,music,1424,0.9176067642218778
Drama,family,1385,0.42625533692565637
Family,love,1377,1.0512859735180697
Family,time,1364,0.272534272832867
Family,story,1297,1.2836330861381686
Family,year,1189,0.41939667235712125
Family,life,1184,0.9117439319300968
Family,good,1133,0.8350567979740325
Family,support,1004,1.0740019559147824
Family,back,975,0.21944161984973992
Family,world,961,0.4655955457414474
Family,hope,839,0.9294624734976296
Family,road,838,-0.6721559784826345
Family,years,828,0.21666005062578236
Family,people,796,0.22358108892213158
Family,game,766,0.3591224263779644
Family,shit,755,0.14312706470785552
Family,night,753,0.5156702876516468
Family,home,713,0.3845778372018568
Family,today,693,0.5424654133306094
Family,work,642,0.41497757594533424
Family,find,612,0.8019279405547708
Family,days,612,0.14200151684919216
Family,company,540,0.24816317235430083
Family,panda,516,0.5937874099860588
Family,black,489,0.14376087514169378
Family,christmas,489,0.5298907762671419
Family,superman,480,0.2710639217402786
Family,great,473,0.4831637811096854
Family,group,457,0.49131634622747056
Family,show,452,0.7776273454053212
Family,book,443,0.7506985333380257
Family,times,437,0.4356607319083858
Family,warrior,433,0.31210157942826977
Family,period,428,-0.005374789220568176
Family,monsters,419,0.9632880541191466
Family,reason,413,0.8123201131820679
Family,family,404,0.323205172720522
Family,make,402,0.5398275718453169
Family,series,396,0.407539738596163
Family,room,391,0.2540144867375683
Family,hell,387,0.07322534172764428
Family,fuck,374,0.042427119520059564
Family,place,372,0.4923285880396443
Family,hilarious,372,0.8710123486416315
Family,mind,372,0.8076519733394987
Family,forever,370,0.2710790698561264
Family,feel,369,0.6039660169583995
Family,money,358,0.36459967358735024
Family,girl,353,1.0404216339838066
Family,things,351,0.42137583531969974
Family,tale,348,0.5894799517660305
Fantasy,time,1556,0.33019617041884164
Fantasy,life,1521,0.8965833156928665
Fantasy,love,1337,1.0418861189393205
Fantasy,story,1190,1.4341452971977344
Fantasy,years,1129,0.3003429220222181
Fantasy,world,1084,0.4232319330322346
Fantasy,year,1009,0.3188323079653609
Fantasy,good,952,0.8874021546461252
Fantasy,people,848,0.17800311329510976
Fantasy,hope,814,0.9364778352603865
Fantasy,today,742,0.4083705097035256
Fantasy,mind,691,1.340819182556376
Fantasy,terror,675,0.15321178259672943
Fantasy,night,645,0.5369326488742995
Fantasy,back,632,0.24878057231979234
Fantasy,great,624,0.5856770299112377
Fantasy,wanted,569,0.47661727546388527
Fantasy,created,558,0.2591602210502898
Fantasy,game,554,0.4125858031697437
Fantasy,home,547,0.4705235201327413
Fantasy,shit,544,0.10945286153240459
Fantasy,work,538,0.24491928732472723
Fantasy,company,534,0.2254034478342935
Fantasy,house,529,0.1650746586065324
Fantasy,book,521,0.7144675742756155
Fantasy,trump,512,0.08269779908005148
Fantasy,link,510,0.38703273499713226
Fantasy,watch,507,0.39178021281546155
Fantasy,music,467,0.8158387620265274
Fantasy,viol,450,0.8284406026204427
Fantasy,family,447,0.16589904816558698
Fantasy,forever,438,0.1798615008263028
Fantasy,dress,415,0.6288770027907498
Fantasy,video,411,0.23854751765292925
Fantasy,days,410,0.21290429081858658
Fantasy,money,401,0.3208907439542976
Fantasy,week,397,0.4477203399018016
Fantasy,hell,396,0.17186374912706362
